,PartNumber,Inductance,SubCkt
3571,XFL6012-601,600nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL6012-601;* Inductance = 600nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-200MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL6012-601_sat port1 port2 PARAMS: Cpar=12.8pF Ind=0.6uH;X1 port1 port2 Model1C PARAMS:;+ R1=12.3;+ R2=0.0135;+ C= {Cpar};+ K1=0.00005;+ K2=0.164;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=5.808E-07;+ Is=13.1598;+ a=1.7006;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=930.805303;.ends XFL6012-601_sat
3572,XFL6012-801,800nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL6012-801;* Inductance = 800nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-200MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL6012-801_sat port1 port2 PARAMS: Cpar=13.3pF Ind=0.8uH;X1 port1 port2 Model1C PARAMS:;+ R1=11.6;+ R2=0.018;+ C= {Cpar};+ K1=0.000075;+ K2=0.216;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=7.984E-07;+ Is=11.6477;+ a=1.5345;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1157.4785;.ends XFL6012-801_sat
3573,XFL6012-102,1uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL6012-102;* Inductance = 1uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-150MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL6012-102_sat port1 port2 PARAMS: Cpar=10.018pF Ind=1uH;X1 port1 port2 Model1C PARAMS:;+ R1=9.9;+ R2=0.0219;+ C= {Cpar};+ K1=0.0001;+ K2=0.24;+ K3= {Ind};+ K4=0.005;+ K5=0.04;+ L=9.985E-07;+ Is=9.8313;+ a=1.5238;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1406.49398;.ends XFL6012-102_sat
3576,XFL7015-251,250nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL7015-251;* Inductance = 250nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-120MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL7015-251_sat port1 port2 PARAMS: Cpar=14.731pF Ind=0.241uH;X1 port1 port2 Model1C PARAMS:;+ R1=12.5;+ R2=0.0039;+ C= {Cpar};+ K1=0.000001;+ K2=0.0416;+ K3= {Ind};+ K4=0.0039;+ K5=0.000091;+ L=2.324E-07;+ Is=17.6875;+ a=3.5578;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=274.210621;.ends XFL7015-251_sat
3577,XFL7015-471,470nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL7015-471;* Inductance = 470nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL7015-471_sat port1 port2 PARAMS: Cpar=16.8pF Ind=0.47uH;X1 port1 port2 Model1C PARAMS:;+ R1=13.5;+ R2=0.0058;+ C= {Cpar};+ K1=0.000001;+ K2=0.105;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=3.88E-07;+ Is=14.9143;+ a=3.3845;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=572.874411;.ends XFL7015-471_sat
3578,XFL7015-681,680nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL7015-681;* Inductance = 680nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL7015-681_sat port1 port2 PARAMS: Cpar=10.784pF Ind=0.68uH;X1 port1 port2 Model1C PARAMS:;+ R1=11;+ R2=0.0077;+ C= {Cpar};+ K1=0.00001;+ K2=0.16;+ K3= {Ind};+ K4=0.0135;+ K5=0.0001;+ L=6.341E-07;+ Is=15.5228;+ a=1.5873;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=934.499577;.ends XFL7015-681_sat
3579,XFL7015-102,1uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL7015-102;* Inductance = 1uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL7015-102_sat port1 port2 PARAMS: Cpar=13.047pF Ind=1uH;X1 port1 port2 Model1C PARAMS:;+ R1=9.5;+ R2=0.0136;+ C= {Cpar};+ K1=0.00006;+ K2=0.26;+ K3= {Ind};+ K4=0.0135;+ K5=0.0001;+ L=9.493E-07;+ Is=14.4695;+ a=1.3151;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1345.54243;.ends XFL7015-102_sat
3580,XFL7015-152,1.5uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XFL7015-152;* Inductance = 1.5uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XFL7015-152_sat port1 port2 PARAMS: Cpar=12.139pF Ind=1.5uH;X1 port1 port2 Model1C PARAMS:;+ R1=10.5;+ R2=0.0183;+ C= {Cpar};+ K1=0.00006;+ K2=0.362;+ K3= {Ind};+ K4=0.0135;+ K5=0.075;+ L=1.3482E-06;+ Is=11.8825;+ a=1.4656;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1756.87058;.ends XFL7015-152_sat
3583,XGL1010-271,270nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-271;* Inductance = 270nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-200MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-271_sat port1 port2 PARAMS: Cpar=11pF Ind=0.27uH;X1 port1 port2 Model1C PARAMS:;+ R1=16;+ R2=0.00047;+ C= {Cpar};+ K1=0.00003;+ K2=0.03;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=2.777E-07;+ Is=278.7771;+ a=0.6127;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=242.364808;.ends XGL1010-271_sat
3584,XGL1010-521,520nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-521;* Inductance = 520nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-200MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-521_sat port1 port2 PARAMS: Cpar=14.5pF Ind=0.52uH;X1 port1 port2 Model1C PARAMS:;+ R1=9;+ R2=0.00068;+ C= {Cpar};+ K1=0.00013;+ K2=0.06;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=5.446E-07;+ Is=152.0361;+ a=0.7458;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=405.318568;.ends XGL1010-521_sat
3585,XGL1010-801,800nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-801;* Inductance = 800nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-150MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-801_sat port1 port2 PARAMS: Cpar=15.8pF Ind=0.8uH;X1 port1 port2 Model1C PARAMS:;+ R1=9;+ R2=0.00088;+ C= {Cpar};+ K1=0.00003;+ K2=0.09;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=8.264E-07;+ Is=125.083;+ a=0.7652;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=542.854809;.ends XGL1010-801_sat
3586,XGL1010-122,1.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-122;* Inductance = 1.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-150MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-122_sat port1 port2 PARAMS: Cpar=15pF Ind=1.2uH;X1 port1 port2 Model1C PARAMS:;+ R1=9;+ R2=0.0012;+ C= {Cpar};+ K1=0.000001;+ K2=0.12;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=1.1554E-06;+ Is=104.9648;+ a=0.7731;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=678.862487;.ends XGL1010-122_sat
3587,XGL1010-152,1.5uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-152;* Inductance = 1.5uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-152_sat port1 port2 PARAMS: Cpar=17pF Ind=1.5uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0015;+ C= {Cpar};+ K1=0.000001;+ K2=0.16;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=1.4978E-06;+ Is=96.6389;+ a=0.7542;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=846.513818;.ends XGL1010-152_sat
3588,XGL1010-222,2.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-222;* Inductance = 2.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-222_sat port1 port2 PARAMS: Cpar=17pF Ind=2.2uH;X1 port1 port2 Model1C PARAMS:;+ R1=8;+ R2=0.0023;+ C= {Cpar};+ K1=0.000001;+ K2=0.24;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=2.3311E-06;+ Is=72.5829;+ a=0.7514;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1138.18714;.ends XGL1010-222_sat
3589,XGL1010-332,3.3uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-332;* Inductance = 3.3uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-332_sat port1 port2 PARAMS: Cpar=23pF Ind=3.3uH;X1 port1 port2 Model1C PARAMS:;+ R1=12;+ R2=0.0032;+ C= {Cpar};+ K1=0.00004;+ K2=0.32;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=3.3444E-06;+ Is=62.0772;+ a=0.7668;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1225.66155;.ends XGL1010-332_sat
3590,XGL1010-472,4.7uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-472;* Inductance = 4.7uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-472_sat port1 port2 PARAMS: Cpar=16.6pF Ind=4.7uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.004;+ C= {Cpar};+ K1=0.00004;+ K2=0.52;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=4.3092E-06;+ Is=63.5542;+ a=0.6982;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2106.02051;.ends XGL1010-472_sat
3591,XGL1010-562,5.6uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-562;* Inductance = 5.6uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-562_sat port1 port2 PARAMS: Cpar=18.3pF Ind=5.6uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0052;+ C= {Cpar};+ K1=0.00004;+ K2=0.58;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=5.6706E-06;+ Is=47.1074;+ a=0.7677;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2198.02306;.ends XGL1010-562_sat
3592,XGL1010-682,6.8uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-682;* Inductance = 6.8uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-682_sat port1 port2 PARAMS: Cpar=18.8pF Ind=6.8uH;X1 port1 port2 Model1C PARAMS:;+ R1=7;+ R2=0.0062;+ C= {Cpar};+ K1=0.0003;+ K2=0.73;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=7.0667E-06;+ Is=43.3005;+ a=0.7778;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2580.11473;.ends XGL1010-682_sat
3593,XGL1010-822,8.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-822;* Inductance = 8.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-822_sat port1 port2 PARAMS: Cpar=19.3pF Ind=8.2uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.008;+ C= {Cpar};+ K1=0.000001;+ K2=0.9;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=8.2953E-06;+ Is=37.8114;+ a=0.7784;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3062.66228;.ends XGL1010-822_sat
3594,XGL1010-103,10uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-103;* Inductance = 10uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-103_sat port1 port2 PARAMS: Cpar=17.9pF Ind=10uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0087;+ C= {Cpar};+ K1=0.000001;+ K2=1.01;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=9.6053E-06;+ Is=37.8872;+ a=0.7684;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3357.83718;.ends XGL1010-103_sat
3595,XGL1010-153,15uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-153;* Inductance = 15uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-50MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-153_sat port1 port2 PARAMS: Cpar=17.9pF Ind=15uH;X1 port1 port2 Model1C PARAMS:;+ R1=8;+ R2=0.0136;+ C= {Cpar};+ K1=0.000001;+ K2=1.51;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=1.4882E-05;+ Is=30.8621;+ a=0.7678;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=4503.60858;.ends XGL1010-153_sat
3596,XGL1010-223,22uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-223;* Inductance = 22uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-25MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-223_sat port1 port2 PARAMS: Cpar=18pF Ind=22uH;X1 port1 port2 Model1C PARAMS:;+ R1=9;+ R2=0.0196;+ C= {Cpar};+ K1=0.000001;+ K2=2.3;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=2.2566E-05;+ Is=25.5693;+ a=0.7725;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=6207.14686;.ends XGL1010-223_sat
3597,XGL1010-333,33uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-333;* Inductance = 33uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-25MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-333_sat port1 port2 PARAMS: Cpar=18.6pF Ind=33uH;X1 port1 port2 Model1C PARAMS:;+ R1=11;+ R2=0.0299;+ C= {Cpar};+ K1=0.000001;+ K2=3.5;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=3.2909E-05;+ Is=20.6977;+ a=0.7702;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=8408.46547;.ends XGL1010-333_sat
3598,XGL1010-473,47uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-473;* Inductance = 47uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-25MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-473_sat port1 port2 PARAMS: Cpar=22.9pF Ind=47uH;X1 port1 port2 Model1C PARAMS:;+ R1=17;+ R2=0.0409;+ C= {Cpar};+ K1=0.000001;+ K2=4.63;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=4.5739E-05;+ Is=15.8929;+ a=0.7565;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=9403.57311;.ends XGL1010-473_sat
3599,XGL1010-563,56uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1010-563;* Inductance = 56uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-25MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1010-563_sat port1 port2 PARAMS: Cpar=22.8pF Ind=56uH;X1 port1 port2 Model1C PARAMS:;+ R1=15;+ R2=0.0499;+ C= {Cpar};+ K1=0.000001;+ K2=4.53;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=5.2702E-05;+ Is=14.8844;+ a=0.7736;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=9033.04651;.ends XGL1010-563_sat
3602,XGL1060-102,1uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-102;* Inductance = 1uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-150MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-102_sat port1 port2 PARAMS: Cpar=18.4pF Ind=1uH;X1 port1 port2 Model1C PARAMS:;+ R1=8;+ R2=0.0017;+ C= {Cpar};+ K1=0.000001;+ K2=0.12;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=9.42E-07;+ Is=103.3178;+ a=0.6958;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=659.966715;.ends XGL1060-102_sat
3603,XGL1060-152,1.5uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-152;* Inductance = 1.5uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-150MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-152_sat port1 port2 PARAMS: Cpar=17.7pF Ind=1.5uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0025;+ C= {Cpar};+ K1=0.000001;+ K2=0.18;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=1.4347E-06;+ Is=87.5564;+ a=0.696;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=934.186497;.ends XGL1060-152_sat
3604,XGL1060-182,1.8uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-182;* Inductance = 1.8uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-182_sat port1 port2 PARAMS: Cpar=19pF Ind=1.8uH;X1 port1 port2 Model1C PARAMS:;+ R1=5;+ R2=0.0028;+ C= {Cpar};+ K1=0.000001;+ K2=0.23;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=1.8019E-06;+ Is=77.7704;+ a=0.6706;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1128.35503;.ends XGL1060-182_sat
3605,XGL1060-222,2.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-222;* Inductance = 2.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-222_sat port1 port2 PARAMS: Cpar=19.1pF Ind=2.2uH;X1 port1 port2 Model1C PARAMS:;+ R1=7;+ R2=0.0028;+ C= {Cpar};+ K1=0.000001;+ K2=0.26;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=2.2014E-06;+ Is=65.282;+ a=0.7075;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1194.74152;.ends XGL1060-222_sat
3606,XGL1060-272,2.7uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-272;* Inductance = 2.7uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-272_sat port1 port2 PARAMS: Cpar=21pF Ind=2.7uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0043;+ C= {Cpar};+ K1=0.000001;+ K2=0.36;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=2.645E-06;+ Is=66.2427;+ a=0.6691;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1536.35476;.ends XGL1060-272_sat
3607,XGL1060-332,3.3uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-332;* Inductance = 3.3uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-332_sat port1 port2 PARAMS: Cpar=18.4pF Ind=3.3uH;X1 port1 port2 Model1C PARAMS:;+ R1=5;+ R2=0.005;+ C= {Cpar};+ K1=0.000001;+ K2=0.42;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=3.3143E-06;+ Is=56.3296;+ a=0.6967;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1802.67127;.ends XGL1060-332_sat
3608,XGL1060-472,4.7uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-472;* Inductance = 4.7uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-472_sat port1 port2 PARAMS: Cpar=18.6pF Ind=4.7uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0075;+ C= {Cpar};+ K1=0.000001;+ K2=0.62;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=4.6211E-06;+ Is=52.0103;+ a=0.665;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2411.45069;.ends XGL1060-472_sat
3609,XGL1060-562,5.6uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-562;* Inductance = 5.6uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-562_sat port1 port2 PARAMS: Cpar=17.9pF Ind=5.6uH;X1 port1 port2 Model1C PARAMS:;+ R1=6;+ R2=0.0089;+ C= {Cpar};+ K1=0.000001;+ K2=0.7;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=5.5084E-06;+ Is=47.4191;+ a=0.6451;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2649.06082;.ends XGL1060-562_sat
3610,XGL1060-682,6.8uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-682;* Inductance = 6.8uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-682_sat port1 port2 PARAMS: Cpar=19pF Ind=6.8uH;X1 port1 port2 Model1C PARAMS:;+ R1=5;+ R2=0.011;+ C= {Cpar};+ K1=0.000001;+ K2=0.94;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=7.0484E-06;+ Is=42.4372;+ a=0.671;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3352.55863;.ends XGL1060-682_sat
3611,XGL1060-822,8.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : XGL1060-822;* Inductance = 8.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Saturation Model;*   Use model for Time Domain simulations;*======================================================================;.subckt XGL1060-822_sat port1 port2 PARAMS: Cpar=20pF Ind=8.2uH;X1 port1 port2 Model1C PARAMS:;+ R1=5;+ R2=0.0133;+ C= {Cpar};+ K1=0.000001;+ K2=1;+ K3= {Ind};+ K4=0.000001;+ K5=0.000001;+ L=8.0057E-06;+ Is=37.0116;+ a=0.703;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3379.93547;.ends XGL1060-822_sat
